,node,TIL_6,TIL_16,TIL_1,TIL_44,TIL_35,TIL_2,TIL_42,TIL_12,TIL_13,TIL_27,TIL_4,TIL_20,TIL_21,TIL_29,TIL_43,TIL_15,TIL_30,TIL_31,TIL_14,TIL_19,TIL_26,TIL_36,TIL_37,TIL_8,TIL_9,TIL_5,TIL_41,TIL_22,TIL_23,TIL_3,TIL_40,TIL_7,TIL_10,TIL_34,TIL_38,TIL_39,TIL_18,TIL_11,TIL_17,TIL_28,TIL_32,TIL_24
0,A1CF,7.35577,0.0,13.1007,9.15366,8.30044,12.268,11.6729,4.48926,12.568,9.0652,8.93193,0.0,6.84618,7.54576,11.3072,0.0,0.0,8.35144,13.4349,11.6549,10.6791,10.6044,7.4494,0.0,12.5823,10.9419,7.97021,10.6143,12.8289,12.153,11.9629,9.78281,13.051,10.0624,0.0,8.81486,12.8789,11.2008,12.4878,0.0,11.6021,8.89377
1,A2M,0.748752,2.15817,2.28347,2.033,3.48756,2.38628,0.044449,1.44905,2.8988,3.83297,-1.30755,5.77025,1.75757,3.26558,2.59289,2.58137,1.09563,3.39914,2.01915,1.8878,2.41135,0.558022,3.01242,2.76908,-0.190129,4.37859,4.72746,1.18557,1.65309,3.35958,2.19285,2.25132,0.641651,-0.40168,1.17363,3.10011,1.85574,0.84372,2.60293,3.65741,0.975803,0.836461
2,AAAS,-0.716091,0.73562,0.00154912,0.950169,-0.124714,-0.922179,-0.487366,-2.49037,0.0,-1.32889,-0.0447526,1.73465,0.194204,-0.48814,0.0995359,-0.100999,0.516832,-0.0513394,1.0486,-0.107657,-0.296787,-1.20436,-0.526358,-0.0217114,-0.378017,-0.572207,0.0,-0.0576489,-0.161942,-0.420493,-0.710208,-0.278229,-0.784665,-0.331606,-0.184182,-1.2339,0.309133,-0.0762219,0.45695,-0.026128,-1.16514,-0.793856
3,AACS,-1.41825,-0.662735,-0.190963,-1.58938,-0.478854,-1.2419,-0.586908,-0.0178856,2.90736,-0.39704,1.2519,0.858769,0.16407,-0.35458,0.0396906,-0.570187,-0.786774,-0.311132,0.173603,0.0537925,0.456558,-1.29129,0.403243,0.781956,0.140896,-0.331361,-0.734451,-0.742251,-0.156332,-0.230862,0.409814,-1.49565,-0.0258193,-0.815265,0.0,-0.174117,0.302657,0.0,1.54859,0.340572,0.688979,-0.311581
4,AAK1,-0.644862,-0.07789749999999998,-0.10609749999999998,-0.4049605,0.8514605,0.3053538,0.00594875,0.374634,0.3335034,0.2986635,1.145511,0.571797,-1.274114,-0.4796753,-0.143957,-0.30352490000000004,-0.555855,0.259154,0.440137,-0.154319,-0.04759550000000001,-0.5161955,-0.44185225,-0.10931350000000001,-0.793874,0.7774325,-0.0387576,0.4310325,-0.23940599999999995,-0.5365213499999999,0.5621855,0.10369350000000001,0.34779375,-0.7052309999999999,0.40681345,0.7863625,-0.425056,-0.342079,-0.15079199999999998,0.6548485,0.034080845000000005,-0.034095499999999994
5,AAMDC,2.11462,1.99475,1.62233,1.45288,2.2383,1.55181,1.53,1.00345,0.0,2.7034,1.78493,0.0,1.48393,4.14264,1.33747,1.07246,1.17197,2.87123,0.782144,2.2646,0.559049,0.690203,1.11283,0.553448,0.774285,1.46933,1.06038,0.402166,0.533675,0.535455,2.1769,1.31306,1.17796,1.94721,0.860408,-1.09773,-0.0198076,0.791235,0.51926,0.755428,1.10149,0.696545
6,AAMP,-0.496188,1.43708,0.84954,0.239063,0.567065,0.327102,0.537856,0.169583,0.398136,0.0506052,0.385042,0.339291,0.138499,-0.113809,1.46336,-0.445007,-0.341417,-0.0328599,0.670812,-0.479806,0.984014,-0.0862433,0.652558,-0.489012,-0.518773,0.257122,0.114234,0.179197,-0.40422,-0.0619239,1.20218,0.275033,0.597502,-1.03162,0.0405774,-0.0461709,0.0164234,-0.247357,0.537893,0.47529,1.72735,0.0652544
7,AAR2,-0.698903,-0.214908,0.890322,0.213954,-0.0422131,-0.158855,-0.440253,0.332907,-0.522115,-0.764177,0.344441,0.776843,-0.11376,0.204837,-0.462184,-0.898273,0.0,0.0,0.0,-0.0194411,0.0838362,-0.075061,-0.155343,0.113491,-0.31721,1.37708,0.14119,-0.744609,-0.0420334,-0.553757,1.24876,0.0,-0.518753,0.20808,0.0,0.200854,0.0,-0.824282,-0.396671,0.719324,-0.0784977,0.398137
8,AARS,-0.815212,-0.144339,0.233403,-0.598952,-0.500449,-0.284582,-0.190953,-0.351494,-0.0736749,-0.142878,0.409944,0.357924,0.67087,0.0704855,-0.821296,0.0796449,0.571832,-0.120294,0.291475,-0.37637,0.242751,-0.734509,0.063764,-0.308668,0.0131922,0.246221,-0.190614,0.382266,0.18576,-0.157251,0.400862,-0.263727,0.276498,-0.0971965,-1.3846,0.0420888,0.643791,0.0731099,0.138759,-0.0175436,0.510608,0.00708556
9,AARS2,0.938158,-0.634844,0.555499,-0.0619855,0.634266,-0.503268,0.478356,0.0891908,0.191169,-0.477263,0.988911,0.248314,0.154046,-0.29041,0.885036,0.413557,0.563097,0.4109,-0.145984,1.24081,0.268699,0.366394,0.397315,-0.634775,0.576896,-0.58938,0.581461,1.17769,0.199122,-0.175214,0.0388627,0.967136,0.0539785,0.770103,-0.515467,0.490377,0.72346,-0.095121,-0.661148,0.402866,0.50037,-0.123434
10,AASDHPPT,-0.0865303,0.146887,0.307061,0.63301,-0.107086,0.196398,-0.0928534,-0.224367,0.285751,-0.0132962,-0.723264,-2.11368,-0.0615818,0.0600063,0.234631,0.0326785,0.877255,-0.55545,0.135477,0.113999,0.28951,-0.696124,-0.176769,0.232493,-0.827176,0.138943,-0.148473,0.155379,-0.108908,-0.296189,0.430378,-0.601402,0.538563,-0.627377,-0.535841,0.0801449,0.95969,0.428652,-0.557015,1.43587,-0.196258,0.29228
11,AASS,-0.263795,-1.4994,0.325211,0.0,-0.938081,1.01548,-0.00114721,-0.257461,-0.374515,1.10179,-0.189793,0.591136,0.435102,0.4911,0.88349,0.344363,1.31281,0.0,-0.546487,0.550366,-0.231027,-0.172366,0.102205,0.291693,-0.685502,0.774641,0.604554,0.72696,0.809745,1.09401,-0.690148,1.53768,-1.38308,0.0569638,0.4855,1.59161,1.85853,1.08099,-1.03161,1.33565,-3.69906,-0.801908
12,AATF,-0.937415,-0.353327,0.0213333,-0.712842,-0.891333,-0.496175,-1.35935,-0.567753,-1.26916,-1.03875,0.264806,0.156447,-0.200051,0.112645,0.0903892,-0.999847,-0.300528,0.0,0.258771,-0.554141,-0.0485232,-1.64477,-0.240598,-0.318174,1.013,-3.81672,-1.95076,-0.225489,0.759586,0.835351,-0.0847567,-0.706159,-0.140675,-0.964852,-1.80306,-1.61613,-0.029524,0.350406,-0.5742,-0.25215,0.708993,0.530624
13,ABCB10,1.78421,1.44644,0.270842,0.273249,0.518972,-0.583862,-1.3331,6.00455,-0.774262,-0.069082,0.0,0.250025,-0.042736,0.737645,0.0921939,-0.892579,0.0,-1.25449,0.193709,1.07098,-0.331299,0.824063,0.259218,0.0111932,-0.863124,-0.945331,1.64935,-0.0310643,-1.03242,0.321356,0.824908,-0.215048,0.0,0.693537,0.0,-0.0287018,0.0460166,4.18735,1.5627,-0.00093624,1.88472,-1.04602
14,ABCB6,-0.361584,-0.161716,1.19046,-0.264297,-0.471438,-0.364469,0.288198,-1.01678,-0.637315,-0.994311,0.821663,0.634247,0.312645,0.679176,-0.863494,-0.546878,0.115621,0.0896951,0.84699,0.761824,0.520927,-1.18933,-1.437,1.17701,0.698684,1.80158,0.78647,0.0820134,1.29883,0.430842,0.674941,-1.35417,1.30764,-0.280465,1.38864,-0.256671,0.0762295,0.269146,1.23604,0.0627279,1.53988,-3.04413
15,ABCB7,-0.622911,0.0,0.33504,-0.477417,0.452806,1.38286,1.22535,0.221104,0.0,-0.247406,0.0,1.3757,1.06182,1.3669,0.550096,-1.19396,1.2456,0.0,0.0,0.892729,-0.547864,-0.302397,2.54669,0.0364356,0.901995,0.0593768,1.78544,0.387599,0.0,0.8585,-0.795202,1.85962,1.47862,1.11071,0.420825,1.19065,-0.672319,0.198501,1.57885,-0.638613,-0.0171441,-1.34354
16,ABCC1,-1.96336,0.321167,-1.30657,-0.832253,-1.08544,0.996463,-0.702527,0.408693,-0.182684,-1.52081,0.608819,0.741921,-0.046934,2.44949,-0.332542,0.603166,0.855451,0.0,-0.39269,-0.159175,0.0,-2.02954,-0.564014,-1.91376,0.333653,-0.381568,-0.334424,0.0653909,1.01156,0.110069,0.0781032,0.0,-0.50953,-1.16567,-1.42023,-1.24242,2.17028,-0.123328,0.0828866,0.260048,2.13948,-1.23649
17,ABCC4,0.0,0.0,-0.997431,-1.61233,-0.25043,-0.482049,-1.34666,-2.44886,-0.135905,-0.995211,-0.127778,-0.417004,-0.690434,0.492943,0.232861,-0.55298,-0.620603,-1.43983,-1.39365,-0.058713,-0.223613,-0.173288,-1.61558,-1.39928,-1.42395,-0.554555,-1.05856,-0.00723967,-1.12101,-0.983067,-0.803236,-2.65754,-1.66963,-0.243875,-2.88487,0.0621811,-1.22261,-1.57888,-0.692031,-0.431667,0.0159082,-1.97503
18,ABCD1,-1.02802,-1.27182,-0.815267,-1.63627,-1.26076,-0.798303,-1.58829,2.48959,-0.227303,-0.599246,1.89559,1.21285,-0.701583,-0.606157,0.614195,-2.35166,-1.0476,2.87492,1.34888,0.0158088,-0.0793942,-1.08759,-0.721517,-0.664356,3.57572,-0.0947604,-0.466882,1.96629,0.111131,1.2961,0.852712,0.0430688,1.58449,2.08469,-0.962847,-0.229704,-0.348078,0.662316,0.70042,0.914203,0.629338,-0.712225
19,ABCD3,-0.321787,-0.336029,-0.125055,0.109751,0.319194,-0.0307427,-0.909004,0.956605,-0.038914,-1.41852,-0.261839,-0.135332,-0.465673,-0.537278,-0.440572,-1.44838,0.14747,0.492394,0.00771397,0.204664,-0.606041,0.0694912,0.350061,0.0324853,-0.446326,-0.392154,1.40601,0.539489,1.01616,0.321675,0.170633,0.562266,0.298621,-0.383485,-0.0429717,0.108802,-0.47247,-0.723086,-0.0289112,0.0446366,1.28718,-0.693212
20,ABCE1,-0.393429,-0.0426587,0.488607,0.0226229,0.114619,0.183918,-0.209622,-0.258643,-0.366292,-1.08077,-0.0149186,-0.430365,-0.0424285,-0.544927,-0.108118,-1.15254,0.55162,-0.193692,0.0242372,-0.115549,-0.126177,-0.622322,0.0786145,0.31623,-0.580283,-0.218764,-0.183314,0.144863,0.116327,-0.170693,0.276666,0.0597154,-0.149728,-0.157165,-0.942431,0.336381,0.208626,-0.00848043,-0.0751944,0.0065999,-0.154993,0.103036
21,ABCF1,-0.62585,-0.748587,0.262807,0.615024,-0.13008,0.193268,-0.490244,0.0581984,-0.942904,-0.728232,0.121514,0.419799,-0.52163,0.022849,0.137541,-0.968496,0.220381,0.022201,-0.344663,-0.279146,-0.243058,-0.768013,-0.739812,-0.654129,0.0104792,-0.431172,0.164593,-0.0334914,-0.457045,0.599764,0.0365818,-0.350655,-0.0629117,-0.116567,-0.713613,-0.367497,0.0414319,-0.051707,-0.281408,-0.171974,0.0637596,-0.765964
22,ABCF2,-1.20813,-0.131677,0.284963,0.469804,-0.00774449,-0.347373,-0.970052,-0.319851,-1.09241,-0.675481,-0.714296,-0.567992,-0.390879,-0.730977,-0.418069,-0.459743,0.0287324,0.0246567,-0.0964831,-0.780464,0.0454848,-0.628723,-0.742113,-0.0196916,-0.643474,-0.532089,-0.88253,-0.208991,-0.0614731,-0.522324,-0.0272265,-0.6107,-0.147827,-0.443372,-1.16868,-0.432521,0.111247,-0.260725,0.285026,-0.202695,-0.0546803,-0.476939
23,ABCF3,0.0205183,1.61685,-0.208338,0.0490685,-0.157706,0.104465,0.129677,0.830905,-0.166808,-0.107886,-0.0398011,-0.0832695,-0.286935,-0.691325,0.572313,-0.802015,-0.603446,1.07494,0.733455,0.12834,-0.110977,-0.37022,0.175199,0.657591,1.22389,0.200542,-0.625877,0.0125399,-0.404063,-0.191841,0.143585,0.373172,0.486921,-0.593753,0.115674,0.0551654,-0.018442,2.08243,0.737415,0.365518,0.875251,2.98855
24,ABHD10,0.468289,0.316727,0.932461,0.487473,0.476517,0.400982,-0.764968,1.70334,0.549858,-0.426555,0.538903,-0.0106073,1.68891,-0.385862,1.2998,0.282102,0.429127,0.338976,-0.0520094,0.611385,0.81378,0.64958,0.593575,0.324477,-0.0209684,0.0517695,1.05457,1.52745,1.06451,1.10421,0.506199,1.14522,0.311248,-0.503086,0.989629,1.7744,2.00085,2.42285,0.527489,0.390607,-0.171793,0.612601
25,ABHD11,0.543764,1.20094,0.982403,2.95296,2.06315,1.06361,0.389446,3.42396,1.62684,1.83439,0.0,-0.182228,2.2091,1.54516,2.31915,1.07104,1.21299,1.61686,1.30941,1.49361,1.66666,2.16364,0.88704,0.0,0.560136,0.0520453,2.58179,1.54562,1.96437,0.548696,1.77726,1.05147,0.644564,1.28277,2.19954,2.46923,2.4899,3.59418,1.99351,1.30796,-0.634373,1.49964
26,ABHD12,0.348461,-0.0728493,0.49985,-0.0275159,-0.37123,0.897344,-0.09569,-0.123521,0.580703,0.436589,1.84237,-0.115149,0.606513,-0.443373,-0.0357844,-0.944693,1.09641,0.169079,0.51462,1.09002,0.441407,0.61126,0.766932,-0.41573,-0.0231171,-0.574711,1.30704,0.0625605,0.252722,0.892934,1.03205,0.878715,0.805973,1.0329,1.17582,0.447449,0.23351,0.151193,1.10824,0.922167,0.379485,0.642625
27,ABHD14A-ACY1,1.61647,0.274538,2.03937,1.76842,0.140232,1.60102,2.18698,0.388984,0.476687,0.788603,0.49632,-0.0260732,1.07696,1.96662,2.14015,0.886514,-0.324217,1.13695,0.879344,0.892066,1.05259,0.951909,0.372472,1.18801,2.74593,0.932744,2.73841,0.659864,3.2958,0.88896,0.84549,-0.0319856,0.337372,1.44566,1.48421,0.327251,0.0843804,1.28809,0.258076,0.107044,0.294032,1.04937
28,ABHD14B,2.1599,2.70382,3.07423,0.867945,1.69122,2.30773,2.20805,1.98631,1.61771,2.22728,1.00186,1.45817,2.61154,2.32382,1.89589,1.39156,0.734328,2.71289,3.80502,2.83185,1.44427,1.90931,3.26973,1.63422,2.77859,1.65795,2.13741,1.28684,2.54291,2.11907,2.6292,1.81315,2.14412,1.88949,2.57956,2.25939,2.10692,1.80884,1.05287,1.16086,0.457425,2.00007
29,ABHD16A,1.13329,0.807095,1.50819,0.0882802,1.35579,1.05642,0.0,1.05,1.35699,1.74212,0.169117,0.612337,2.08992,-0.786586,-0.0816828,-0.142054,0.19732,0.0,-0.0311454,2.29046,0.182484,1.03905,0.0,0.0,-2.8605,0.923551,0.0,0.275734,1.43323,1.99965,1.13317,1.72425,-0.123753,1.61367,2.91216,2.24306,0.848123,0.318099,-2.12487,0.785774,1.9572,0.0
30,ABHD6,-0.452737,-0.498891,-1.31831,0.0,0.61043,-1.35879,-2.03372,-0.246481,-0.00591904,-1.57296,1.92739,1.57091,0.821383,0.198438,0.0,-1.20889,0.0,-1.68724,0.434772,-0.376828,1.33378,-1.66076,0.0200661,0.837411,1.16667,-0.70182,0.475198,-0.704256,-1.33183,-1.2961,0.81188,-0.772258,0.556584,1.26984,-0.350546,-1.89338,-1.03363,0.0180044,1.38387,0.344599,0.334292,1.11745
31,ABI1,0.299944,0.608277,0.731601,-0.381902,0.0156667,0.23638,0.701742,0.5078,0.54136,0.765124,0.491803,0.523691,0.761267,0.716156,0.695638,0.367489,-0.0307382,0.853258,3.68543,0.24757,1.04385,0.0782448,0.747637,0.532655,0.765085,0.257043,0.765435,0.215415,0.216607,0.30109,1.42127,0.457712,0.660499,0.0858096,1.10203,0.67701,-0.704336,-1.26854,0.705744,0.968068,0.292984,0.970424
32,ABI2,-1.08921,-1.92801,-0.924429,0.0,0.805723,-1.10329,-1.82022,-1.24061,0.31732,-0.483906,0.0,-3.0008,-0.559389,-0.216777,0.0,-0.428793,0.0,0.0,-1.2134,0.0,-0.370877,0.0,-4.33266,-0.510408,-2.09641,-0.458161,0.0,-0.0741395,-1.218,-0.987222,-0.2481,0.811154,0.0,-1.54273,-0.324843,-0.418477,-0.0502909,-0.394406,-1.97976,-1.10756,-1.81183,0.0
33,ABR,-1.15193,-0.20928899999999998,0.607288,-0.6824689999999999,-0.943399,0.418619,-1.53273,-0.6882290000000001,-0.826352,-0.418375,0.47451099999999996,-0.143787,-0.279297,-0.318148,-0.74125,-0.870273,-0.563346,0.7819730000000001,-0.0163071,-0.834892,-0.345222,-0.896778,-0.560758,-0.0757765,0.0396794,-0.264242,-0.365701,-0.298857,-1.02073,-0.491344,0.42564399999999997,-1.04275,-0.165034,-0.8226780000000001,-1.4360799999999998,-0.269796,-0.612355,-0.12553,0.0472368,-0.04186979999999999,-0.0509702,-0.751103
34,ABRACL,2.33721,1.29356,1.28474,-0.358336,1.15584,0.375184,-0.704387,0.0,-0.00430495,1.50218,-0.501805,1.05183,-0.39771,0.52502,2.20584,-0.461412,-0.157487,0.0,3.28638,0.0,0.0,0.30614,3.66701,0.0,-0.865441,0.428366,0.0452103,1.00037,0.514458,2.34279,2.03385,-0.512233,3.52611,2.57554,1.09357,1.26098,4.12524,3.83221,0.0,0.353342,-0.795948,3.17327
35,ABT1,0.439773,1.33642,1.29496,0.377781,-0.267239,0.485026,-0.462217,0.122145,0.174048,0.160151,-0.793068,-0.277279,0.496047,0.367138,1.78215,-0.436263,1.26857,0.660092,0.0964279,0.0,0.617618,-0.28277,-0.245937,0.265508,0.843067,0.578752,0.0,0.169267,0.172522,0.0807381,-0.147539,0.370697,0.5719,-0.745355,-0.0804795,-0.481292,1.98923,0.106493,0.527128,0.0,0.163738,0.138789
36,ACAA1,0.291439,0.711773,0.358133,0.420218,-0.0652905,-0.291861,-1.05625,0.623555,0.935629,0.0614841,-0.488382,-0.334915,0.3897,-1.1858,1.61676,0.194213,-0.849686,2.11841,1.2749,0.36192,0.105635,0.601408,-0.809034,-0.0347129,-1.51562,-0.709572,3.3779,0.284776,3.44768,1.12687,0.9977,-0.959884,0.878531,-0.477153,0.603243,0.537447,-1.07199,-0.782042,0.251275,1.0785,-0.450307,-0.658624
37,ACAA2,1.27529,2.45553,2.31664,2.3284,1.06372,1.34427,0.673977,1.5612,2.40823,1.4957,-0.568648,1.08129,2.01714,0.282435,1.6952,1.01694,1.6821,1.29301,1.41054,2.10484,1.07977,0.865464,1.48498,1.81342,0.880119,0.868619,4.35415,2.06216,3.00964,1.7688,2.19412,1.07662,1.02093,0.425933,1.69211,2.39671,1.84505,0.648547,1.81341,1.9547,0.437407,-0.614731
38,ACACA,-1.03324,-0.15479,-0.793583,-0.312395,-1.17849,-1.066,-0.745156,-0.418335,0.220243,-1.12978,0.0341101,-0.436217,-0.360516,-0.670966,0.141377,-1.65736,-0.133366,-0.642571,-0.0743678,-0.6619,-0.985282,-1.58465,-0.748097,-0.58269,-0.521511,-1.27275,-0.987839,-0.248274,-0.7687,-0.969229,-0.638983,-1.09175,-0.370627,-1.35736,-1.43514,-1.16435,-0.753474,-0.727441,0.192152,-0.826381,-0.148707,-1.05012
39,ACACB,-1.03324,-0.15479,-0.793583,-0.312395,-1.17849,-1.066,-0.745156,-0.418335,0.220243,-1.12978,0.0341101,-0.436217,-0.360516,-0.670966,0.141377,-1.65736,-0.133366,-0.642571,-0.0743678,-0.6619,-0.985282,-1.58465,-0.748097,-0.58269,-0.521511,-1.27275,-0.987839,-0.248274,-0.7687,-0.969229,-0.638983,-1.09175,-0.370627,-1.35736,-1.43514,-1.16435,-0.753474,-0.727441,0.192152,-0.826381,-0.148707,-1.05012
40,ACAD9,0.117603,0.199517,0.291029,-0.592062,-0.410085,-0.416111,-0.615273,0.154164,-0.333965,-0.604958,0.612179,-0.142765,0.783384,3.73413,-0.0442058,-0.992362,0.327041,-0.0720771,0.457463,0.52825,-0.0276893,-0.550319,-0.0742878,0.206113,0.159328,-0.272419,2.28871,0.966817,0.525236,1.40004,0.230204,1.07799,0.719867,-0.113473,0.572619,1.36792,0.62002,1.51756,0.282174,0.418866,-0.118172,0.109778
41,ACADM,1.13712,0.412423,1.5505,0.350221,-0.135887,0.750666,1.29442,0.491826,1.06333,1.62778,0.346163,0.449283,1.61756,-0.128476,1.57964,0.501983,-0.0879612,-0.503848,1.25469,1.02512,0.606799,0.287812,0.573484,0.764835,0.716021,0.466145,2.20406,1.66426,2.81672,1.65167,1.50024,2.31024,0.461582,0.880644,0.601808,0.794466,1.17162,1.8394,0.504823,0.591622,0.514451,0.622493
42,ACADSB,0.328425,0.0,0.0183607,0.0,0.181816,-1.26689,0.0,0.628609,0.0468621,0.823963,3.99967,0.622468,0.896663,0.895132,0.0,0.10976,0.328185,0.0,0.0,0.986617,1.92863,0.184519,0.840371,0.504545,0.0,0.147453,2.67152,1.34871,3.33098,0.645059,1.06255,0.629712,0.0,0.380692,0.0,1.6977,0.0,2.17082,0.753631,0.0,1.43049,0.43377
43,ACADVL,-0.342993,1.87102,1.80826,0.342496,0.0987658,0.32282,-0.385862,0.219972,1.52398,0.633708,0.05417,0.517032,1.63446,-0.109084,0.294545,-0.199776,0.0820956,1.00861,0.556926,1.47696,-0.375184,1.00971,-0.42368,0.404155,0.89459,0.529703,2.46154,1.93028,0.963005,2.37422,1.39833,0.943757,1.59946,0.496113,-0.0188896,2.48624,1.86618,2.18798,0.86553,1.11619,1.00704,0.79167
44,ACAP2,0.0,0.564576,0.365564,-0.781985,0.0,0.353561,0.260728,0.018879,-0.60626,-0.406394,-0.0835109,0.160511,0.480476,0.0324282,0.615493,-0.156438,0.0268726,0.282294,0.389885,0.0934382,1.00538,-1.4173,-0.500179,0.0,0.527336,0.228991,0.0500421,0.0752226,0.280224,0.421145,0.574459,-0.470746,0.0291422,0.0345389,0.0,0.570785,0.367613,0.0,0.0545048,0.483262,1.69774,0.0
45,ACAT1,1.0687,0.420703,0.894933,1.05421,-0.565749,0.00895301,-0.315719,0.0669328,-0.645429,-0.210932,-0.30451,-0.39528,0.663323,-0.0467984,-0.00375926,-1.30452,0.628642,-0.29473,0.379355,0.187514,-0.76942,-0.135341,-0.271769,0.0930339,0.0478205,-0.403065,3.19244,1.34787,1.9988,1.17327,0.719783,-0.100209,-0.115217,-0.32653,0.247738,1.05377,1.45827,1.23171,-0.144502,0.452778,-0.337184,0.0520177
46,ACAT2,-0.3303,-0.20356,-0.0477409,-0.969685,-0.735553,-0.760394,-0.805455,-0.616358,-0.682995,-0.149722,-0.797553,0.477495,-0.508919,-0.692014,1.14922,-0.550891,-0.178695,-0.737042,-0.517655,-0.803312,-0.764103,-0.92251,-0.0711528,-1.01606,-1.21603,-0.629506,-0.319725,-1.10494,0.247135,-0.692688,-0.855239,-0.101101,-0.0347965,-0.0543298,-1.16057,-0.47765,0.497358,-0.224065,-0.570239,-0.685911,-0.311457,-0.183383
47,ACBD3,-0.410247,-0.370577,0.250257,-0.691831,0.206445,-0.330345,-0.0552167,0.341613,-0.145914,-0.219345,0.0304053,-0.11019,0.617571,-0.156703,-0.0321076,-0.081352,-0.2283,0.106505,0.239351,0.0684803,-0.0466308,-0.791552,-0.00410716,-0.276789,-0.00886187,0.0770976,-0.0764072,0.305401,0.6476,0.43508,0.389417,-0.0511239,0.292284,0.189472,-0.792634,-0.0235113,0.563114,0.0692381,0.101182,0.140211,0.0960884,-0.276502
48,ACBD5,1.17016,0.802156,0.568484,0.112084,-0.509067,1.46431,1.46506,0.905997,1.71401,2.51851,1.81261,2.02292,1.86227,0.0,0.581156,-0.427275,0.0,0.300032,0.0,0.723095,0.0,0.187505,-1.38724,-0.0488806,1.75048,1.169,2.00382,1.26393,0.960728,1.37308,2.1325,0.509586,1.89888,-0.0241422,2.11415,1.11164,0.701161,2.12419,2.049,1.6865,0.0,1.69558
49,ACBD6,-1.03188,-0.266207,0.386066,0.0,0.887463,-0.461176,-0.600536,-0.688814,0.0745279,-0.647697,0.202679,0.812855,0.437103,1.19767,0.0,0.182841,0.0,0.0,-0.127595,0.103096,3.67291,-0.331295,0.0,0.0,0.0,0.32036,-0.187311,0.0995546,-0.0905914,-0.241582,0.116432,-0.5551,0.0,-0.947527,0.0,-1.22913,0.724374,-1.09002,-0.172898,-0.597228,0.0418494,-1.14662
50,ACIN1,-0.398539,-0.44448,0.189926,0.0455999,0.189979,-0.380052,-0.440346,-0.906731,-0.200768,0.73781,-0.319855,-0.507138,-0.319293,-0.0543204,-0.532836,-0.335393,-0.0744895,-0.854497,-0.347218,-0.448544,-0.654606,-1.09497,-1.65311,-0.587671,-0.484876,-0.377476,-0.00728595,-0.0895958,-0.0216083,0.0647776,-0.650413,0.446202,-0.348699,-0.493521,-0.543845,-0.976674,-0.804506,-0.429958,0.0143437,-0.207148,-0.349206,0.196403
