,node,PD1_14,PD1_15,PD1_6,PD1_62,PD1_10,PD1_47,PD1_75,PD1_21,PD1_49,PD1_56,PD1_16,PD1_29,PD1_72,PD1_65,PD1_33,PD1_41,PD1_44,PD1_61,PD1_63,PD1_70,PD1_64,PD1_32,PD1_39,PD1_45,PD1_50,PD1_57,PD1_76,PD1_74,PD1_77,PD1_30,PD1_36,PD1_60,PD1_38,PD1_43,PD1_78,PD1_81,PD1_11,PD1_13,PD1_18,PD1_23,PD1_25,PD1_26,PD1_9,PD1_24,PD1_7,PD1_59,PD1_73,PD1_84,PD1_20,PD1_8,PD1_19,PD1_4,PD1_46,PD1_79,PD1_83,PD1_67,PD1_1,PD1_68,PD1_82,PD1_27,PD1_12,PD1_53,PD1_51,PD1_2,PD1_80,PD1_69,PD1_71,PD1_5,PD1_54,PD1_85,PD1_66,PD1_17,PD1_55,PD1_28
10,AASDHPPT,0.350318,-0.384073,-0.689574,-0.522355,-0.773851,-0.891538,-1.19124,-0.175667,-0.5159,-1.121,1.04362,0.337292,0.340338,0.0373194,-0.767099,-0.737975,0.295618,-0.666942,-1.55965,-0.308821,-0.292872,-0.946981,-1.22093,-0.626055,-0.75991,-0.127141,0.0185579,0.0,-0.486835,-0.984716,-0.941566,0.153513,-0.915219,0.0976728,-0.272748,0.0,-0.0179586,0.0215615,-0.170926,-0.665665,-0.16735,-0.77412,0.308808,0.851925,-0.491067,-1.17274,-0.943868,0.772266,-0.489477,-0.970559,-0.987118,-0.589504,0.12918,-0.308636,-0.420015,-0.197826,0.296793,0.915376,-0.682327,-1.11562,-0.620644,-0.51139,-0.0803216,0.0473191,-0.971319,-0.155285,-0.180364,-0.327919,-0.733743,-1.37042,-0.422792,-0.157946,-0.00420883,-0.809685
11,AASS,0.552222,1.47289,-0.049524,-1.41696,-0.0660856,-0.74553,0.135551,-0.0654583,-0.0571912,0.0631569,1.98136,-0.0220215,1.66596,1.23465,0.569351,0.973191,0.0,0.542769,0.525866,0.700179,-0.658848,-0.717086,0.729736,-0.32149,0.115972,0.88066,0.0,0.0,2.39369,0.137411,0.495955,-1.71906,0.826708,-0.785154,0.0,0.0,0.395588,-0.199534,0.205178,0.415048,0.35444,1.39111,1.0762,0.462354,0.91287,0.640005,2.63185,1.14029,0.0360412,0.120597,1.07018,2.91209,0.884364,2.15909,0.120639,0.0,0.659464,0.00722343,0.585198,0.0,0.473062,1.41716,-0.59835,0.786947,2.42939,-0.166694,0.150298,1.33765,-0.287484,-0.281975,1.0212,0.0836452,2.96657,-0.935991
12,AATF,-0.966366,-1.76063,-1.57501,-0.358704,-1.78799,-1.3198,-1.60734,0.0,-0.255918,-0.951028,0.0322108,-0.751833,0.0,-0.245107,-1.55588,0.0,-1.3199,0.64737,-1.77715,0.0,0.967545,-1.60891,-0.858198,-0.358093,-0.316557,-1.20219,-1.57795,0.0,-1.42394,-0.986631,-1.32438,0.354641,0.0,0.0,0.0,0.0,0.0,-2.02181,-0.887331,-0.906015,-1.42096,-1.69625,-0.701755,-0.215293,-1.56204,-1.21741,-2.0587,-1.87262,-1.87242,-2.03237,-2.08884,-1.48836,-2.7718,-1.40065,-2.10681,-0.820303,-1.69875,-1.42126,-1.93842,0.0,-1.39829,-0.229925,-0.70716,0.679524,-1.32777,-0.887421,-0.0127861,-1.69311,-0.263327,-0.911399,-1.32893,-1.27295,0.0601559,-1.11161
13,ABCB6,0.739059,-0.431353,-0.590099,0.400776,1.57578,-1.13972,2.22101,-1.1383,1.32059,-0.0884694,1.98141,1.60927,0.0679073,0.359164,0.912036,2.71897,1.30592,-0.112583,0.122706,-0.242046,2.45967,1.56612,0.647678,-0.484787,0.65307,1.068,1.11803,0.0,0.167559,1.01735,0.217599,0.906001,-0.443375,0.78378,0.0,0.0,-0.807136,0.0339878,0.201244,0.313222,0.716869,0.263784,0.547062,-1.16512,0.550323,1.40505,0.660164,-0.203857,-0.761634,0.579754,-1.17561,2.23204,2.48082,-0.13639,-0.0492105,0.514366,0.31007,0.369926,1.83832,0.335806,0.914241,0.472636,1.75865,1.05321,1.5171,0.0958639,0.942662,1.49089,0.751551,0.825004,1.18988,0.650887,0.397073,-0.407737
14,ABCB7,0.723041,0.695525,-1.66694,1.31444,-0.852558,0.781965,0.657392,0.717556,0.11206,2.416,0.131898,0.736215,0.0,1.70125,-0.0124948,0.839871,0.44811,0.616422,0.449351,0.0,0.00319785,-0.163834,-0.327186,-0.352359,-0.582838,1.17166,-1.12782,0.0,0.325163,0.218949,1.00902,0.522742,-0.529444,0.754813,-0.267793,0.0,0.252167,0.326016,-0.0687315,-0.751086,0.070663,0.897485,1.14314,0.464068,0.317208,-1.56378,0.804222,-0.218279,0.154474,0.528128,1.73119,1.46885,1.21148,0.575774,-1.33642,-1.15782,0.621471,-0.576398,-0.989384,0.389547,0.0342717,-0.203766,0.537757,0.265827,0.306787,-0.865585,0.950569,-0.385937,0.592569,0.153721,-0.123144,-0.361859,0.851429,-0.0149568
15,ABCC1,0.0,0.336671,0.0,0.0448606,0.747198,0.676591,0.0936723,0.0,1.3616,0.0,0.973212,0.104253,0.0,1.19703,0.0,0.548062,-0.621133,0.491114,-0.241406,-1.40003,1.35708,-0.119307,0.0193197,0.0282506,-0.495554,0.708064,0.0858188,0.0,0.559554,1.58227,-0.151793,-0.720844,-1.12478,0.489392,-0.820397,0.0,0.856724,0.0,-0.42041,0.0,-0.489343,-0.20783,0.566758,-1.31434,0.763242,-0.0418288,0.0,-0.00594482,0.608891,0.0,0.344227,0.31792,2.20268,0.0,-0.663223,-0.278768,0.212914,0.269238,0.584571,0.0,-0.976442,0.64395,1.15334,-0.0774661,-0.302295,0.803464,1.03772,-0.938134,0.0,0.777009,-0.297336,-0.158053,0.0,0.735768
16,ABCD1,-0.686748,-0.474071,0.242653,-0.916775,2.99695,0.0290933,-0.199437,-0.00157361,-0.283348,-0.245878,-0.90428,-1.18962,-1.3366,0.619885,-0.300028,-0.110201,-0.546328,0.0685442,1.05097,-1.88467,-0.555805,-1.46908,0.0421634,-0.388295,-0.967561,-0.56205,-1.27697,0.0,0.540823,0.573546,0.959934,-0.00507405,-1.65165,-1.19918,0.0,0.0,-1.76458,-0.410084,1.68627,-0.201164,-0.204184,-1.11816,1.39287,-0.452916,-1.23658,-1.0965,0.105886,1.01338,-0.806332,-0.492012,-0.230362,0.0931228,0.530317,0.274794,-1.4063,-1.6068,0.0606142,1.20134,-1.27545,-0.254379,1.71276,1.00783,-0.444775,-0.442437,0.335243,0.154152,2.22878,-0.827703,1.35365,0.848328,-1.52509,-0.457413,0.819136,0.492262
17,ABCD3,-0.932482,0.0759553,-0.0560659,0.0111015,0.726915,-0.424706,-0.930569,-1.2214,-0.202991,0.734008,-1.15499,-0.396295,-1.04847,0.491372,1.04795,-0.532621,0.727738,-0.853007,-0.00970215,-1.91147,0.063868,-0.0732353,-0.638245,-0.0277321,-0.643031,-0.404885,-1.59005,0.0,-0.240114,-0.336275,0.281459,0.163167,-0.618213,0.24629,-1.12254,0.0,-0.925034,0.166175,1.32303,-0.516942,-0.442749,1.01362,0.809001,-1.26469,-0.315033,-0.727253,2.23269,-1.56092,0.206206,-0.699757,-0.183971,-0.160492,-0.297713,0.911863,-1.94473,-1.21211,0.0423988,-0.0421758,-0.643941,-0.171277,0.42688,2.01567,0.340647,0.51668,0.0678918,0.206319,0.40889,0.347265,0.267682,0.397759,-0.583154,0.371232,1.40071,0.514455
18,ABCE1,0.510555,0.139394,-0.00235942,0.215477,-0.496142,-0.757632,-0.888992,-0.356854,0.203471,-0.735326,0.202445,0.749017,-0.478926,-0.651463,-1.42702,-0.0252053,-0.110981,0.40943,-0.163397,-0.003576,0.592272,-0.388866,-0.956541,-0.334713,0.571069,0.094238,-0.2035,-0.626777,-0.585222,-0.772912,-0.758717,-0.198782,-1.39987,-0.471457,-0.127468,0.20559,-0.257806,0.228012,-0.188089,-1.09402,-0.133984,0.118268,0.0193443,0.587576,0.269703,-0.211133,-0.607193,-0.169317,-0.274072,-0.815164,-0.355747,-0.411715,-0.733046,0.094193,-0.12952,-0.0335077,-0.777424,0.0211297,-0.14739,-1.60803,-0.448081,-0.0800626,-0.234224,-0.239657,-0.464068,-0.167344,-1.05498,-0.0611582,0.442558,-0.953372,0.115168,0.147041,-0.898714,-0.491709
19,ABCF1,-0.0352876,0.189673,0.171675,0.0265172,-0.229631,-0.242332,-0.585902,-0.997024,0.17059,0.673127,0.59393,0.266433,-0.421265,0.562507,0.032779,0.277478,0.795925,-0.283407,-0.371396,-0.556902,0.446173,0.938777,-0.12621,-0.267244,0.0286891,0.0239381,0.0728302,0.162166,0.391566,-0.830575,-0.111485,0.686405,-0.599462,1.70121,0.216621,1.96661,0.504718,-0.0239071,-0.251363,0.533225,0.057207,0.160213,0.191027,-0.14957,0.502679,-0.609675,0.496545,-0.440541,0.0110627,0.125199,0.288625,0.283914,0.215493,0.211771,-0.449883,-0.443796,-0.436635,-0.414698,-0.61312,-0.376508,0.0966417,-0.373433,0.293857,0.127621,-0.201609,0.00919554,0.223708,-0.498565,-0.274079,-0.443297,1.35221,0.852176,-0.128172,-0.273081
20,ABCF2,-0.630165,-0.866712,-0.502246,-1.23743,-0.374199,-1.41253,-0.654471,-0.992953,-1.268,-0.970054,0.327955,-0.165006,-0.158647,-0.6914,-0.764867,-0.393313,-1.0574,-0.610977,-0.13216,-0.775871,-0.999316,-1.27887,-1.36175,-0.789155,0.000165194,0.0930917,-0.776788,2.09527,-0.500068,-0.201596,-0.678425,-1.09098,-1.2311,0.000145853,-1.22298,3.24301,-0.470587,-0.945834,-0.0192177,-0.502968,-0.0887944,-0.713832,-1.14833,-0.236645,-0.409925,-0.343482,-0.303106,-0.105929,-0.508455,-0.619861,-0.483664,-1.00685,-0.570764,-0.011063,-0.99674,-0.245518,-0.522347,-0.670655,-0.546817,-1.27012,-0.271025,0.316898,-0.29286,-1.023,-0.601509,-0.676726,-0.213222,-1.47722,-0.660862,-0.652267,-0.658713,-0.348345,-0.452799,0.0905418
21,ABCF3,0.060448,0.0535807,0.452338,0.144791,0.312156,-0.0340388,-0.587902,-0.920577,0.389082,0.0556409,0.234776,0.947288,0.10934,0.617281,0.243571,-0.108922,0.0369801,-0.390771,-0.147863,-0.152163,-0.436727,-0.275862,0.183731,-0.122269,0.564889,0.367022,-0.859818,0.0,-0.759993,-0.498826,-0.410604,-0.1227,0.594374,-0.114263,0.34037,0.0,-0.30863,-0.163347,0.145605,0.300244,0.0976974,0.788494,0.489001,0.550897,0.671876,0.517731,0.283754,0.809901,0.630358,-0.408288,0.0412737,-0.336284,0.134854,-0.234618,-0.239484,0.0394343,0.772324,-0.618997,0.536594,-0.377726,0.445925,0.234929,-0.179493,-0.79963,-0.132731,0.345098,0.311709,0.295281,-0.247307,-0.195042,0.393363,-0.395506,-1.12783,-0.587084
22,ABHD10,0.237746,-0.232335,-0.0820396,1.37503,0.384458,0.452055,-0.418227,0.712169,0.56251,0.821038,0.55462,0.367788,-0.392884,1.14206,0.0737829,-0.328784,0.140665,0.88834,-1.31306,0.035211,-0.196894,0.0241119,0.69303,-0.0859947,-0.0640242,1.05867,-0.31347,0.0,-0.0333122,0.241987,0.451761,0.107266,0.0627862,-0.351124,0.0856724,0.0,-0.560058,-0.357458,0.165111,-1.34388,0.567293,0.974261,-0.470299,0.103257,-0.553107,0.732417,2.12624,-0.655887,1.09864,-0.523157,1.22988,1.4654,1.00038,1.07075,0.680312,0.256449,0.625361,0.617928,0.0461797,-0.0793301,0.698243,0.208953,-1.344,0.795857,0.306194,-0.672539,-0.248491,0.697771,0.629919,-0.107449,-2.622,-0.226181,-0.450514,0.175222
23,ABHD11,0.94178,0.731972,2.21796,1.25805,0.535345,1.20186,0.548033,2.42472,0.950836,2.46905,0.483195,1.55455,2.01608,2.47588,-0.491034,0.427068,0.0329904,1.7416,1.63249,0.358019,1.69229,0.834413,0.340451,-0.493496,0.311821,1.68725,0.342198,0.0,0.272508,-0.778126,1.19467,1.49216,1.59697,0.783113,0.315349,0.0,0.738495,0.0409379,2.04451,-0.0522465,1.8115,1.39181,3.42025,1.38935,-0.0911651,1.81535,1.84107,0.528746,1.02007,0.28293,1.68511,2.12507,1.662,2.24004,2.2893,2.49518,1.46748,3.9935,1.09483,0.325715,-0.212802,1.16967,2.41128,-0.393928,1.79162,0.332026,1.08404,1.99947,0.844544,0.269901,-0.782763,1.73558,0.810475,1.27402
24,ABHD12,-0.329435,0.411217,0.690639,-0.100037,0.408303,1.02155,1.13042,0.0934524,2.0785,1.43654,-0.282223,-0.162114,-1.70505,1.5014,-0.822606,0.731552,0.445402,-0.255473,0.773217,-1.37676,0.761933,0.337728,0.761465,0.505225,-0.907463,0.159388,-0.721684,0.0,0.0401278,1.44114,2.16609,1.07215,-0.930152,0.871595,0.335386,0.0,0.364436,0.951788,0.350385,1.23702,1.04789,0.346204,2.27248,-0.35528,0.231607,-0.121546,-0.765996,0.623721,0.824697,1.21331,0.731006,1.77329,1.25876,0.938574,-0.228305,-0.464477,0.872969,0.409535,0.237346,1.77278,0.791804,0.681751,0.960448,0.985685,0.958232,0.434622,0.776478,1.42965,0.527089,1.69204,-1.16758,0.0172375,0.828844,2.21939
25,ABHD14B,2.69934,1.88896,3.07466,2.61607,2.34266,1.50215,1.05943,1.81317,2.33262,3.10627,1.58645,2.78005,3.38174,2.0426,1.53201,2.42302,1.32514,0.739891,3.01154,2.60157,1.41657,2.95266,1.53845,-0.0201383,1.3344,1.15371,4.05179,-0.228544,-0.517814,1.2566,2.49869,2.46383,2.99117,0.734633,1.46858,0.0,1.42508,1.02038,2.04959,-0.598755,1.27278,2.41271,3.1876,2.44026,2.8531,2.87722,3.1494,3.62223,1.33101,2.51705,2.33353,2.28072,1.57876,2.19223,3.21442,0.964725,3.01775,3.47421,1.73763,0.71159,1.97176,2.3773,2.10608,1.44343,1.34427,-0.227103,0.159675,-0.212932,1.15767,0.565616,1.16095,1.15519,1.30233,1.68228
26,ABHD16A,0.663387,1.33002,0.284763,-1.08712,0.64162,0.971581,2.11754,0.0,0.802997,-0.473229,-0.302745,1.05411,0.0,0.3217,-1.57161,1.23443,1.27109,-0.407089,-1.18359,0.0,0.9906,0.312944,0.556161,0.581795,-1.25186,1.13548,0.559797,0.0,-0.0200365,1.09202,1.54862,1.49992,0.0,1.14498,1.20291,0.0,1.15444,0.0140198,0.456354,0.448889,1.26731,0.201929,-0.410327,0.682602,1.53157,0.0860302,1.53603,-0.548023,0.773668,0.283487,0.607124,3.03932,1.38769,1.35977,0.941522,0.638472,-1.03304,2.60247,2.11606,0.0426908,0.355532,0.65329,1.43035,0.48409,1.07079,1.21936,0.748069,0.349893,0.818354,1.55593,0.85418,0.92529,1.25361,1.05546
27,ABHD6,-1.236,1.49307,-0.658495,0.0,0.788642,0.0,-0.668086,-0.626098,-0.10305,-0.188698,-0.486777,0.0,0.0,0.409484,0.0,-0.518647,-1.18159,-0.639192,-1.06485,0.0,0.0,-0.851989,0.363012,0.0,-0.15378,-0.215251,-1.4081,0.0,-0.790311,0.26312,0.138294,-1.14989,0.0,-1.24843,0.0,0.0,-2.1243,-1.71346,0.365165,0.73665,-0.691462,-0.68736,0.514594,-0.355791,-0.786289,-0.68953,0.0270829,-1.39489,0.300965,-0.79785,-0.675165,-0.254443,-0.550982,-1.27422,-1.99145,-1.15841,-0.472086,-0.366821,0.0,0.0482313,-0.140155,1.64651,0.840493,-0.942306,-0.122078,-1.3771,0.72842,-0.12252,-0.610927,-0.23119,-0.942148,-1.3226,1.15716,0.591234
28,ABI1,1.00839,0.69571,0.452909,0.298488,0.336451,0.986001,0.0,-0.276124,1.06514,0.298443,-0.631629,-0.550334,-0.767122,0.128465,-0.829208,0.1479,0.373516,0.151172,-0.26974,-0.641777,0.739504,1.08398,-0.310378,0.39799,0.560934,-0.229815,-0.330219,0.0,-0.557267,1.14788,0.488878,1.09385,-0.814359,-1.06693,-0.788093,0.0,-1.20391,0.430855,-0.263335,0.0772524,0.105385,0.0729749,0.399369,0.0640835,0.652602,0.908483,1.50051,-4.22741,0.959914,-1.16472,0.607418,0.44655,-0.0739638,0.36917,-0.450036,0.295438,-0.0218603,-0.984286,0.280079,-0.538432,0.596135,0.686582,0.455215,0.033481,0.0954897,-1.57789,0.357853,-0.577781,0.343217,0.477286,-1.00425,-0.148728,0.0322344,0.704247
29,ABI2,-1.25995,0.158276,-0.97808,-0.697387,-0.627545,0.763586,-1.64646,1.49117,-0.63287,0.0,0.601362,-0.191747,0.0,-0.444525,0.0,0.603994,-0.250145,-0.922313,-0.401355,0.135019,0.0591864,-1.84993,-0.255354,-1.43487,0.268859,2.51475,-1.35907,0.0,0.901438,-0.13762,0.813868,-1.08754,0.178726,0.340736,0.0,0.0,0.94781,0.0,-0.220714,0.0,-0.541504,0.17271,-0.411837,-1.51509,-0.75074,-0.428202,-0.209164,-0.540554,0.88698,1.0195,-0.267913,-0.295085,0.320539,1.72099,0.0,-2.15911,-0.680855,-0.0562277,-0.509888,0.0,-0.573894,1.30466,0.133617,-0.381856,-0.317975,-2.36616,-2.15519,0.672064,-1.25099,-0.410456,0.0,-0.0946068,-0.199242,0.0
30,ABR,-0.146469,0.836512,0.861806,-0.226066,-0.680581,0.0767185,-0.832187,0.399275,1.14069,-1.43786,-0.189019,-0.0376847,0.2594,0.0169615,0.729848,0.191868,0.673424,0.248693,-1.08743,-0.649159,1.30048,-0.1058,-0.317013,-0.228449,0.55372,0.00656664,-0.554146,0.0,0.000246718,0.757371,1.40447,-1.07185,-0.333851,0.277146,0.461367,0.0,-0.298318,-1.13797,-0.310342,0.383497,0.269765,0.848587,0.677017,0.638782,-0.453489,-0.359412,-0.177877,0.201686,-0.0511808,1.41756,0.22221,0.484265,-0.212737,-0.107922,-0.822914,-0.707392,0.735517,1.51587,0.56902,0.967354,-0.797475,0.940565,0.5031,0.0807108,-1.17117,0.432817,0.572314,-0.736429,0.102403,1.03553,-1.26252,0.147173,0.572084,0.9771
