,node,PD1_14,PD1_15,PD1_6,PD1_62,PD1_10,PD1_47,PD1_75,PD1_21,PD1_49,PD1_56,PD1_16,PD1_29,PD1_72,PD1_65,PD1_33,PD1_41,PD1_44,PD1_61,PD1_63,PD1_70,PD1_64,PD1_32,PD1_39,PD1_45,PD1_50,PD1_57,PD1_76,PD1_74,PD1_77,PD1_30,PD1_36,PD1_60,PD1_38,PD1_43,PD1_78,PD1_81,PD1_11,PD1_13,PD1_18,PD1_23,PD1_25,PD1_26,PD1_9,PD1_24,PD1_7,PD1_59,PD1_73,PD1_84,PD1_20,PD1_8,PD1_19,PD1_4,PD1_46,PD1_79,PD1_83,PD1_67,PD1_1,PD1_68,PD1_82,PD1_27,PD1_12,PD1_53,PD1_51,PD1_2,PD1_80,PD1_69,PD1_71,PD1_5,PD1_54,PD1_85,PD1_66,PD1_17,PD1_55,PD1_28
0,A1BG,3.78671,4.36783,4.37405,4.96064,0.0,2.71913,0.0,3.97231,5.2599,2.5602,4.95507,2.99003,4.02905,0.0,1.81134,2.8443,3.67893,0.0,0.0,4.49312,3.84701,0.0,3.66211,0.0,4.13145,0.0,0.0,0.0,2.94727,3.4509,3.02809,0.0,3.28769,4.28316,2.9667,4.30867,4.84445,5.02525,0.0,4.12828,2.28049,3.55552,3.97666,3.30306,4.8577,0.0,2.63161,0.0,3.88672,4.41523,-0.126457,1.34335,0.0,0.0,4.63403,3.39947,0.0,6.9867,4.78789,1.16195,2.2157,5.42834,4.92042,3.12542,3.7062,4.77827,0.0,3.38464,0.0,2.07205,5.79367,4.06589,0.0,0.0
1,A2M,4.37788,5.53874,4.08426,7.21061,2.60016,3.45241,4.50845,3.81947,4.02114,3.27347,3.89619,3.52839,3.37469,3.46356,3.21691,2.75911,2.57057,4.03392,2.6844,5.30665,4.68639,2.66504,2.27022,2.71205,3.48848,5.92263,3.78144,2.69559,2.6761,5.8904,2.52832,5.44237,2.78261,5.8187,5.25169,2.51934,3.25091,5.04488,4.23095,5.64221,4.48543,2.75616,3.13482,3.26545,4.29261,5.01378,5.36892,3.23282,4.37397,5.75641,2.20395,2.78807,3.44341,3.82023,4.27223,3.08484,4.19986,7.75252,5.48867,2.074,4.01385,6.0067,7.55561,0.961308,3.07025,4.70274,3.62232,3.62362,3.95996,2.997,7.0738,4.55227,2.24039,3.30938
2,AAAS,-0.44726,-0.746396,-0.443042,-0.333636,-0.72895,-0.272221,-0.0226677,-0.270734,-1.25039,-0.752767,0.114444,0.745619,-0.0630779,-0.286779,0.390863,-0.66865,0.198829,-0.246279,-0.622734,-0.153202,0.19491,-0.361743,-0.219911,0.281002,-0.254277,0.0809546,-0.595173,0.0,-0.138473,-0.700611,-0.335922,0.042217,0.389788,-0.570446,0.0,0.0,-0.0983804,-0.114392,0.136302,-0.845555,-0.0605426,-0.373952,-0.78392,-0.417266,-0.515402,-1.04098,0.163027,-1.17499,-0.0510604,-0.309339,-0.328148,0.368746,-0.0106614,-0.349794,-1.02244,-0.732715,-0.773316,-0.814987,-0.991968,-0.769917,-0.228256,-0.0497203,-0.263288,-0.408547,-0.364759,0.552042,0.505472,-0.211619,-0.624834,-0.494205,-0.613006,0.454604,0.488811,-0.919641
3,AACS,-0.953776,0.458808,-0.52709,-0.823222,-0.811571,-1.91506,-1.34067,-0.82716,-1.11134,-2.15762,-0.828203,-0.364652,0.0,-0.355578,-1.88811,-0.505426,-1.3783,-0.448207,0.162472,0.0,-1.34661,-0.893315,-1.87449,-0.753877,-0.969177,-0.627805,-0.561341,0.0,0.0,-1.0719,-1.81683,-0.593385,-0.688813,-1.82375,0.0,0.0,-2.08617,-1.73677,-0.702287,-2.10636,-0.938934,-0.823076,-0.765249,-1.10134,-1.19512,0.278201,-1.39167,-0.828631,-0.692536,-0.141598,-1.5535,0.7427,0.0539575,-1.85075,-1.34757,-1.53584,-0.280253,1.24778,-1.83724,-1.35461,-0.293883,-1.30941,-1.57959,-0.220805,-3.10108,0.0,-0.643796,-0.0437686,-1.27815,0.0,0.126166,-0.412891,-0.629216,-1.19801
4,AAK1,-0.104584,-0.424483,-0.00870332,-0.0933247,0.115553,0.0365379,0.695646,0.50046,0.190019,-0.000596613,-1.091,-0.558329,-1.00131,-0.162994,-0.0142965,-0.524652,-0.519882,-0.648837,-1.19266,-1.28307,-0.504777,-0.637567,0.152434,0.790389,0.0957923,0.210341,-0.521448,0.0,0.660613,-0.364194,-0.53937,-1.18177,-0.466032,-0.0215773,0.0,0.0,-0.382246,0.162699,-0.73416,-0.997122,0.0419988,0.105142,0.278333,-0.930949,0.245126,-0.384314,0.191691,-0.901811,0.489425,-0.0899303,0.662199,-0.0277316,-0.468085,0.172737,-1.14748,-0.735475,0.173095,0.316163,1.19435,-0.763146,0.343949,0.147343,-1.30026,-1.84215,-0.348831,-0.403885,-0.2718,1.14588,0.243397,0.53977,-0.251801,-0.985113,-1.38734,0.573334
5,AAMDC,2.08847,0.907929,5.10145,2.03864,1.28067,1.97244,1.95777,1.30573,0.118804,2.23352,1.81883,2.72682,1.53774,3.1927,0.906423,1.94627,1.08736,2.19302,1.83774,1.54143,2.76148,2.79389,0.0131005,1.51148,1.36614,1.95353,0.0,0.0,1.79054,0.0,1.28088,0.421718,2.83761,0.672999,2.09568,0.0,1.14194,0.949536,1.44581,0.86333,0.954252,1.06517,4.72334,3.52622,2.04242,1.24872,1.73248,1.30998,0.942285,1.88512,0.449912,1.23874,2.33559,1.25973,3.25637,3.01564,4.63361,0.0,1.14255,0.216318,1.47661,0.220584,0.0,0.617282,0.577554,-1.06253,1.26825,0.589221,0.915255,-1.60959,0.265254,1.61918,2.19002,0.0
6,AAMP,-0.351186,0.708431,-1.02295,-0.382391,-0.599453,-0.849641,-0.177687,-0.0937236,-0.667211,-0.9921,0.530889,-0.0635796,-1.05634,-0.742383,-0.767471,-0.200605,0.307451,0.0980342,-0.791353,0.133419,-0.73456,-0.657567,-2.67716,-0.806843,-0.140724,0.00941467,0.131489,-1.59389,0.000246718,0.40358,-0.650491,-1.18231,-0.39433,0.144871,0.0,0.0,-0.395174,-0.320083,-1.35899,-1.92678,-1.16416,0.235025,0.0573497,-0.479674,0.036112,-0.663427,0.0184662,0.100091,-0.586707,0.530926,0.313158,-1.16802,-0.355787,-0.764207,-0.289171,-0.00477189,0.642586,1.11094,0.586094,-0.21484,-0.87861,-0.0923365,-0.584294,-0.809678,-0.185569,-0.323937,0.305881,0.433413,0.287406,-0.520338,-0.942033,-0.497058,-0.424902,-0.90613
7,AAR2,-0.32594,-0.083276,-0.501951,-1.0408,-0.862487,-1.03022,-0.951434,-0.564597,-0.112994,0.13513,0.374591,0.149,0.310213,0.0,0.856779,-0.697292,1.04652,-0.766335,0.870025,-1.14806,0.563605,0.012147,-0.381304,-0.22768,0.24537,-0.581303,0.0543852,0.0,-0.636986,-0.142784,-0.649548,0.983479,0.0,0.232516,0.0,0.0,-0.222246,0.263063,2.94584,-0.634541,-0.676419,0.270775,0.518835,-0.10707,-0.216749,-0.793012,-0.16958,-0.587956,0.594015,-0.0872724,-0.948637,0.193784,-0.417264,-0.235664,0.589107,0.0,-0.476917,1.54437,-0.123471,-1.02192,-1.80895,-1.45182,-0.821605,-1.38866,-0.974736,-0.292938,0.205974,0.637109,-1.33569,0.997451,0.33427,0.747163,-0.0129906,-0.850849
8,AARS,-0.150865,0.00932369,0.318214,0.143628,0.401372,-0.115316,-0.372641,0.191528,0.412936,0.526407,-0.351181,0.0863052,-0.659003,0.226517,-0.641348,0.241833,-0.417735,0.05106,0.160376,-0.605903,0.651171,0.226979,-0.204104,-0.679579,0.379981,0.92947,-0.428276,-0.996131,-0.876191,-0.709508,-0.168295,0.134641,-0.766599,0.086874,-0.271066,-0.0412028,-0.653394,0.122291,0.260777,-0.458351,-0.0993754,-0.394313,0.5686,-0.705369,-0.212973,0.115582,-0.233665,0.0682109,0.234897,-0.420004,-0.0702357,0.00449979,-0.0837681,-0.533606,-0.201607,-0.789064,0.104262,0.124764,-0.376789,-1.45736,-0.534258,-0.226027,-0.305573,-0.510302,-0.64453,0.156858,-0.243418,0.133288,-0.244185,-0.590051,0.894816,-0.221895,-0.0950673,-0.845711
9,AARS2,0.698669,-0.0278214,-0.490776,1.56308,0.635959,0.695987,0.384316,-0.526448,0.42508,-0.0751798,0.867433,1.21551,-0.403261,1.39444,0.170347,0.717514,1.50836,0.681742,-0.118923,-0.263367,1.0427,-0.550781,1.42224,-1.77787,-0.899976,1.6751,-0.732054,0.0,0.0360189,-0.735071,0.750993,1.98574,-0.0415537,1.97891,0.11191,0.0,0.0203796,-0.521085,-0.0886533,0.840178,0.382962,1.06107,1.16789,0.551872,-0.194928,0.597788,1.36231,-0.386858,-0.148025,-0.0740366,0.840984,2.24643,2.05332,1.70525,-0.877716,-0.0679526,0.309938,-1.42748,-0.918748,-0.281022,0.0392811,0.292278,-0.24969,1.53842,0.690219,0.155098,-0.41314,0.0388609,1.00726,0.187735,0.646614,0.117256,0.50716,-0.401973
